name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_main_address,addresses_type,values_value,values_outstanding,secondary_filters_name,secondary_filters_tree,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date,año_creacion,mes_creacion,dia_semana_creacion,categoria_centro,periodo_creacion,numero_direccion,categoria_direccion,decada,antiguedad,categoria_antiguedad,numero_direccion_cat,coordenadas_validas,datos_validos
Escola del Mar,1985-03-11 23:00:00+00:00,2021-07-30 13:31:17.052392+00:00,,,144805,C Gènova,12,35,el Guinardó,7,Horta-Guinardó,8041,True,,934364751,True,Ensenyament infantil (3-6 anys),651,430651.08233966056,4585477.45780544,41.417860339923216,2.170154967138413,,,,1985,3,Monday,Educación Infantil,1980s,12,Bajo,1980,39,Histórico,Bajo,True,True
Escola del Mar,1985-03-11 23:00:00+00:00,2021-07-30 13:31:17.052392+00:00,,,144805,C Gènova,12,35,el Guinardó,7,Horta-Guinardó,8041,True,,934364751,True,Educació primària,651,430651.08233966056,4585477.45780544,41.417860339923216,2.170154967138413,,,,1985,3,Monday,Educación Primaria,1980s,12,Bajo,1980,39,Histórico,Bajo,True,True
Escola Diputació,1985-05-09 22:00:00+00:00,2021-10-15 11:23:42.754615+00:00,,,100800,C Diputació,112,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,True,,934546868,True,Ensenyament infantil (3-6 anys),651,429426.72407269967,4581452.4088119855,41.3815016061186,2.155974721321213,,,,1985,5,Thursday,Educación Infantil,1980s,112,Alto,1980,39,Histórico,Normal,True,True
Escola Diputació,1985-05-09 22:00:00+00:00,2021-10-15 11:23:42.754615+00:00,,,100800,C Diputació,112,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,True,,934546868,True,Educació primària,651,429426.72407269967,4581452.4088119855,41.3815016061186,2.155974721321213,,,,1985,5,Thursday,Educación Primaria,1980s,112,Alto,1980,39,Histórico,Normal,True,True
Escola Dovella,1989-11-13 23:00:00+00:00,2022-09-17 02:53:14.810946+00:00,,,191204,C Mallorca,595,64,el Camp de l'Arpa del Clot,10,Sant Martí,8026,True,,934569020,True,Ensenyament infantil (3-6 anys),651,431946.3909094509,4584746.420195385,41.41138686621241,2.185735644870212,,,,1989,11,Monday,Educación Infantil,1980s,595,Muy alto,1980,35,Histórico,Muy Alto,True,True
Escola Dovella,1989-11-13 23:00:00+00:00,2022-09-17 02:53:14.810946+00:00,,,191204,C Mallorca,595,64,el Camp de l'Arpa del Clot,10,Sant Martí,8026,True,,934569020,True,Educació primària,651,431946.3909094509,4584746.420195385,41.41138686621241,2.185735644870212,,,,1989,11,Monday,Educación Primaria,1980s,595,Muy alto,1980,35,Histórico,Muy Alto,True,True
Escola el Polvorí,1985-05-09 22:00:00+00:00,2022-09-17 02:53:21.898742+00:00,,,261478,Camí Polvorí,8,13,la Marina de Port,3,Sants-Montjuïc,8038,True,,933327496,True,Ensenyament infantil (3-6 anys),651,428313.60431423184,4579484.156793411,41.363675852978446,2.1428964534405965,,,,1985,5,Thursday,Educación Infantil,1980s,8,Bajo,1980,39,Histórico,Bajo,True,True
Escola el Polvorí,1985-05-09 22:00:00+00:00,2022-09-17 02:53:21.898742+00:00,,,261478,Camí Polvorí,8,13,la Marina de Port,3,Sants-Montjuïc,8038,True,,933327496,True,Educació primària,651,428313.60431423184,4579484.156793411,41.363675852978446,2.1428964534405965,,,,1985,5,Thursday,Educación Primaria,1980s,8,Bajo,1980,39,Histórico,Bajo,True,True
Escola Timbaler del Bruc,1989-10-01 23:00:00+00:00,2022-11-16 16:44:36.681808+00:00,,,24304,C Arnau d'Oms,4,44,Vilapicina i la Torre Llobeta,8,Nou Barris,8016,True,,933522951,True,Ensenyament infantil (3-6 anys),651,431272.77806376055,4586648.183522251,41.428458064742514,2.177460524074598,,,,1989,10,Sunday,Educación Infantil,1980s,4,Bajo,1980,35,Histórico,Bajo,True,True
Escola Timbaler del Bruc,1989-10-01 23:00:00+00:00,2022-11-16 16:44:36.681808+00:00,,,24304,C Arnau d'Oms,4,44,Vilapicina i la Torre Llobeta,8,Nou Barris,8016,True,,933522951,True,Educació primària,651,431272.77806376055,4586648.183522251,41.428458064742514,2.177460524074598,,,,1989,10,Sunday,Educación Primaria,1980s,4,Bajo,1980,35,Histórico,Bajo,True,True
Institut Escola Eixample,1987-09-27 23:00:00+00:00,2021-03-30 07:13:55.215024+00:00,,,350308,València,252,7,la Dreta de l'Eixample,2,Eixample,8007,True,,932152683,True,Ensenyament infantil (3-6 anys),651,429922.7820215991,4582548.377220436,41.39141598738827,2.16177997203942,,,,1987,9,Sunday,Educación Infantil,1980s,252,Muy alto,1980,37,Histórico,Alto,True,True
Institut Escola Eixample,1987-09-27 23:00:00+00:00,2021-03-30 07:13:55.215024+00:00,,,350308,València,252,7,la Dreta de l'Eixample,2,Eixample,8007,True,,932152683,True,Educació primària,651,429922.7820215991,4582548.377220436,41.39141598738827,2.16177997203942,,,,1987,9,Sunday,Educación Primaria,1980s,252,Muy alto,1980,37,Histórico,Alto,True,True
Institut Escola Eixample,1987-09-27 23:00:00+00:00,2021-03-30 07:13:55.215024+00:00,,,350308,València,252,7,la Dreta de l'Eixample,2,Eixample,8007,True,,932152683,True,Educació secundària,651,429922.7820215991,4582548.377220436,41.39141598738827,2.16177997203942,,,,1987,9,Sunday,Educación Secundaria y FP,1980s,252,Muy alto,1980,37,Histórico,Alto,True,True
Escola Splai,1993-04-05 22:00:00+00:00,2023-02-02 12:12:15.607455+00:00,,,190100,C Maladeta,75,45,Porta,8,Nou Barris,8016,True,,933404010,True,Ensenyament infantil (3-6 anys),651,431018.76441650186,4587199.5710980855,41.433402432343165,2.174357822967229,,,,1993,4,Monday,Educación Infantil,1990s,75,Medio,1990,31,Histórico,Normal,True,True
Escola Splai,1993-04-05 22:00:00+00:00,2023-02-02 12:12:15.607455+00:00,,,190100,C Maladeta,75,45,Porta,8,Nou Barris,8016,True,,933404010,True,Educació primària,651,431018.76441650186,4587199.5710980855,41.433402432343165,2.174357822967229,,,,1993,4,Monday,Educación Primaria,1990s,75,Medio,1990,31,Histórico,Normal,True,True
Escola Els Porxos,1987-09-29 23:00:00+00:00,2022-09-17 02:53:59.535246+00:00,,,107503,Pl Eduard Torroja,12,72,Sant Martí de Provençals,10,Sant Martí,8020,True,,933071232,True,Ensenyament infantil (3-6 anys),651,433001.6175878183,4585111.132850232,41.41476038224248,2.1983198941026654,,,,1987,9,Tuesday,Educación Infantil,1980s,12,Bajo,1980,37,Histórico,Bajo,True,True
Escola Els Porxos,1987-09-29 23:00:00+00:00,2022-09-17 02:53:59.535246+00:00,,,107503,Pl Eduard Torroja,12,72,Sant Martí de Provençals,10,Sant Martí,8020,True,,933071232,True,Educació primària,651,433001.6175878183,4585111.132850232,41.41476038224248,2.1983198941026654,,,,1987,9,Tuesday,Educación Primaria,1980s,12,Bajo,1980,37,Histórico,Bajo,True,True
Centre Educatiu Asunción de Nuestra Señora,1989-11-09 23:00:00+00:00,2022-09-17 02:54:02.635211+00:00,,,346800,Rbla Poblenou,94,68,el Poblenou,10,Sant Martí,8005,True,,933000931,True,Ensenyament infantil (3-6 anys),651,433129.6536216488,4583715.520484379,41.40220115929684,2.2000060038823097,,,,1989,11,Thursday,Educación Infantil,1980s,94,Medio,1980,35,Histórico,Normal,True,True
Centre Educatiu Asunción de Nuestra Señora,1989-11-09 23:00:00+00:00,2022-09-17 02:54:02.635211+00:00,,,346800,Rbla Poblenou,94,68,el Poblenou,10,Sant Martí,8005,True,,933000931,True,Educació primària,651,433129.6536216488,4583715.520484379,41.40220115929684,2.2000060038823097,,,,1989,11,Thursday,Educación Primaria,1980s,94,Medio,1980,35,Histórico,Normal,True,True
Centre Educatiu Asunción de Nuestra Señora,1989-11-09 23:00:00+00:00,2022-09-17 02:54:02.635211+00:00,,,346800,Rbla Poblenou,94,68,el Poblenou,10,Sant Martí,8005,True,,933000931,True,Educació secundària,651,433129.6536216488,4583715.520484379,41.40220115929684,2.2000060038823097,,,,1989,11,Thursday,Educación Secundaria y FP,1980s,94,Medio,1980,35,Histórico,Normal,True,True
Escola Parc de la Ciutadella,1993-02-18 23:00:00+00:00,2021-07-30 13:37:45.341257+00:00,,,79306,Pg Circumval.lació,5,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,True,,933195847,True,Ensenyament infantil (3-6 anys),651,432275.0752654949,4582021.1688439865,41.386869080055405,2.1899728376135026,,,,1993,2,Thursday,Educación Infantil,1990s,5,Bajo,1990,31,Histórico,Bajo,True,True
Escola Parc de la Ciutadella,1993-02-18 23:00:00+00:00,2021-07-30 13:37:45.341257+00:00,,,79306,Pg Circumval.lació,5,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,True,,933195847,True,Educació primària,651,432275.0752654949,4582021.1688439865,41.386869080055405,2.1899728376135026,,,,1993,2,Thursday,Educación Primaria,1990s,5,Bajo,1990,31,Histórico,Bajo,True,True
Escola Congrés-Indians,2012-01-11 09:38:13+00:00,2022-09-17 05:44:21.578029+00:00,,,29807,C Açores,1,61,la Sagrera,9,Sant Andreu,8027,True,,933400975,True,Ensenyament infantil (3-6 anys),651,432264.0105155134,4586282.258288066,41.42524649826285,2.1893636167955752,,,,2012,1,Wednesday,Educación Infantil,2010s,1,Bajo,2010,12,Establecido,Bajo,True,True
Escola Congrés-Indians,2012-01-11 09:38:13+00:00,2022-09-17 05:44:21.578029+00:00,,,29807,C Açores,1,61,la Sagrera,9,Sant Andreu,8027,True,,933400975,True,Educació primària,651,432264.0105155134,4586282.258288066,41.42524649826285,2.1893636167955752,,,,2012,1,Wednesday,Educación Primaria,2010s,1,Bajo,2010,12,Establecido,Bajo,True,True
Escola Superior de Comerç Internacional,1994-03-20 23:00:00+00:00,2024-05-27 08:34:49.519188+00:00,,,271100,Pg Pujades,1,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,True,,932954710,True,Universitats,651,431614.1536632696,4582153.326421354,41.38800347000207,2.182053704014178,,,,1994,3,Sunday,Educación Superior,1990s,1,Bajo,1990,30,Consolidado,Bajo,True,True
Escola Poblenou,1985-03-11 23:00:00+00:00,2023-06-13 08:05:08.636767+00:00,,,253902,Carrer del Perú,139,71,Provençals del Poblenou,10,Sant Martí,8018,True,,933072613,True,Ensenyament infantil (3-6 anys),651,432913.7935478226,4584573.770072032,41.40991318696884,2.197328702708788,,,,1985,3,Monday,Educación Infantil,1980s,139,Alto,1980,39,Histórico,Alto,True,True
Escola Poblenou,1985-03-11 23:00:00+00:00,2023-06-13 08:05:08.636767+00:00,,,253902,Carrer del Perú,139,71,Provençals del Poblenou,10,Sant Martí,8018,True,,933072613,True,Educació primària,651,432913.7935478226,4584573.770072032,41.40991318696884,2.197328702708788,,,,1985,3,Monday,Educación Primaria,1980s,139,Alto,1980,39,Histórico,Alto,True,True
Escola Els Xiprers,1987-11-23 23:00:00+00:00,2022-09-17 02:56:02.338997+00:00,,,700800,Camí Salze,13,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,8017,True,,932049210,True,Ensenyament infantil (3-6 anys),651,424996.3731843426,4585765.136794851,41.41994340301173,2.1024614168090343,,,,1987,11,Monday,Educación Infantil,1980s,13,Bajo,1980,37,Histórico,Normal,True,True
