equipament,indicador,valor,notes_dades,notes_equipament,codi_districte,nom_districte,codi_barri,nom_barri,latitud,longitud
Centre Cívic l'Elèctric,Metres_quadrats,566,,,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",41.41913796,2.097871834
Centre Cívic La Cadena,ActivitatsDeFormacio,155,,,3,Sants-Montjuïc,13,la Marina de Port,41.364156288,2.139067245
Centre Cívic La Cadena,InscripcionsActivitatsFormacio,1466,,,3,Sants-Montjuïc,13,la Marina de Port,41.364156288,2.139067245
Centre Cívic La Cadena,Metres_quadrats,333,,,3,Sants-Montjuïc,13,la Marina de Port,41.364156288,2.139067245
Centre Cívic La Casa Elizalde,ActivitatsDeFormacio,598,,,2,Eixample,7,la Dreta de l'Eixample,41.394483818,2.165880676
Centre Cívic La Casa Elizalde,InscripcionsActivitatsFormacio,11809,"Els itineraris són compartits amb Golferichs, Fort Pienc i Urgell",,2,Eixample,7,la Dreta de l'Eixample,41.394483818,2.165880676
Centre Cívic La Casa Elizalde,Metres_quadrats,1800,,,2,Eixample,7,la Dreta de l'Eixample,41.394483818,2.165880676
Centre Cívic La Sagrera,ActivitatsDeFormacio,145,,,9,Sant Andreu,61,la Sagrera,41.423942321,2.189139414
Centre Cívic La Sagrera,InscripcionsActivitatsFormacio,1590,,,9,Sant Andreu,61,la Sagrera,41.423942321,2.189139414
Centre Cívic La Sagrera,Metres_quadrats,903,,,9,Sant Andreu,61,la Sagrera,41.423942321,2.189139414
Centre Cívic La Sedeta,ActivitatsDeFormacio,491,,,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,41.40554894,2.167665468
Centre Cívic La Sedeta,InscripcionsActivitatsFormacio,8147,,,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,41.40554894,2.167665468
Centre Cívic La Sedeta,Metres_quadrats,1287,,,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,41.40554894,2.167665468
Centre Cívic Matas i Ramis,ActivitatsDeFormacio,92,,,7,Horta-Guinardó,43,Horta,41.432755073,2.160711473
Centre Cívic Matas i Ramis,InscripcionsActivitatsFormacio,1188,,,7,Horta-Guinardó,43,Horta,41.432755073,2.160711473
Centre Cívic Matas i Ramis,Metres_quadrats,637,,,7,Horta-Guinardó,43,Horta,41.432755073,2.160711473
Centre Cívic Navas,ActivitatsDeFormacio,399,,,9,Sant Andreu,63,Navas,41.416904706,2.184919133
Centre Cívic Navas,InscripcionsActivitatsFormacio,4162,,,9,Sant Andreu,63,Navas,41.416904706,2.184919133
Centre Cívic Navas,Metres_quadrats,1200,,,9,Sant Andreu,63,Navas,41.416904706,2.184919133
Centre Cívic Pati Llimona,ActivitatsDeFormacio,221,,,1,Ciutat Vella,2,el Barri Gòtic,41.381635545,2.179176281
Centre Cívic Pati Llimona,InscripcionsActivitatsFormacio,2054,,,1,Ciutat Vella,2,el Barri Gòtic,41.381635545,2.179176281
Centre Cívic Pati Llimona,Metres_quadrats,1900,,,1,Ciutat Vella,2,el Barri Gòtic,41.381635545,2.179176281
Centre Cívic Pere Pruna,ActivitatsDeFormacio,51,,Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,41.403181601,2.131302875
Centre Cívic Pere Pruna,InscripcionsActivitatsFormacio,746,,Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,41.403181601,2.131302875
Centre Cívic Pere Pruna,Metres_quadrats,287,,Espai cultural creat el 1998. Forma part de la xarxa de centres cívics des de 2013.,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,41.403181601,2.131302875
Centre Cívic Sagrada Família,ActivitatsDeFormacio,325,Part del centre en obres i s'ha reduït la programació.,,2,Eixample,6,la Sagrada Família,41.405380126,2.176760148
Centre Cívic Sagrada Família,InscripcionsActivitatsFormacio,3580,Part del centre en obres i s'ha reduït la programació.,,2,Eixample,6,la Sagrada Família,41.405380126,2.176760148
Centre Cívic Sagrada Família,Metres_quadrats,1900,,,2,Eixample,6,la Sagrada Família,41.405380126,2.176760148
Centre Cívic Sant Andreu,ActivitatsDeFormacio,118,,,9,Sant Andreu,60,Sant Andreu,41.430852888,2.189400581
Centre Cívic Sant Andreu,InscripcionsActivitatsFormacio,1647,,,9,Sant Andreu,60,Sant Andreu,41.430852888,2.189400581
Centre Cívic Sant Andreu,Metres_quadrats,900,,,9,Sant Andreu,60,Sant Andreu,41.430852888,2.189400581
Centre Cívic Sant Martí,ActivitatsDeFormacio,141,,,10,Sant Martí,72,Sant Martí de Provençals,41.416622171,2.198563813
Centre Cívic Sant Martí,InscripcionsActivitatsFormacio,1829,,,10,Sant Martí,72,Sant Martí de Provençals,41.416622171,2.198563813
Centre Cívic Sant Martí,Metres_quadrats,5470,,,10,Sant Martí,72,Sant Martí de Provençals,41.416622171,2.198563813
