"Catàleg","Àmbit d’actuació   ","Nom acció formativa","Nombre places","Durada hora","Edicions previstes","Personal Destinatari 1","Personal Destinatari 2","Personal Destinatari 3","Personal Destinatari 4","Personal Destinatari 5","Objectius"
"TRANSVERSAL - 2022","Desenvolupament competencial"," El ""Mindfulness"" aplicat a la teva tasca professional",45.00,10.00,4.00,,,,,,"Conèixer i entrenar tècniques innovadores per millorar la teva atenció i planificació i prevenir l'estrès."
"TRANSVERSAL - 2022","Desenvolupament competencial"," Fer preguntes efectives",45.00,15.00,2.00,,,,,,"Dominar l'ús de les preguntes i ser capaç d'obtenir i interpretar la informació per afavorir la comprensió dels fets. Millorar l"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Gestió del temps i resultats",45.00,20.00,5.00,,,,,,"Conèixer com organitzar i aprofitar millor el temps per obtenir més bons resultats a la feina."
"TRANSVERSAL - 2022","Desenvolupament competencial"," Mapes mentals: organització eficient de la informació",45.00,10.00,4.00,,,,,,"Aprendre a connectar i associar diverses idees entre si, a assimilar la informació més ràpidament, a obtenir una visió global de"
"TRANSVERSAL - 2022","Desenvolupament competencial"," MICROFORMACIÓ: Apropa't a la solució creativa de problemes",28.00,2.00,2.00,,,,,,"Conèixer el mètode ""Creative Problem Solving"", per fer front a problemes o reptes d’una manera imaginativa i innovadora"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Per què dic blanc si vull dir negre?",50.00,10.00,1.00,,,,,,"Entrenar-se per a interaccionar amb els altres, defensant els legítims drets de cadascun sense agredir ni ser agredit"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Presa de decisions i generació d'alternatives",45.00,15.00,2.00,,,,,,"Conèixer les tècniques i les metodologies per anticipar-nos als problemes, aportar alternatives de solució innovadores i ajudar"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Proactivitat i iniciativa",50.00,10.00,1.00,,,,,,"Conèixer els comportaments que tenen a veure amb la proactivitat i saber com adquirir-los"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Tècniques de negociació i mediació",45.00,20.00,3.00,,,,,,"Aprendre les bases d’una negociació eficient i adquirir les eines bàsiques per a portar a terme processos de mediació amb efecti"
"TRANSVERSAL - 2022","Desenvolupament competencial"," Transforma els teus hàbits",45.00,15.00,2.00,,,,,,"Conèixer com un canvi d'hàbits pot ajudar-nos a ser més efectius."
"TRANSVERSAL - 2022","Econòmic i financier"," Procediments de contractació i execució dels contractes",40.00,35.00,8.00,,,,,,"Conèixer el marc normatiu de la contractació, la tipologia i les parts en el contracte. Conèixer els diferents procediments d’ad"
"TRANSVERSAL - 2022","Gestió col·laborativa, transversal i descentralitzada"," Eines pràctiques per incorporar la perspectiva intercultural a la teva feina",50.00,20.00,1.00,,,,,,"Conèixer i prendre consciencia de la perspectiva intercultural, per incorporar-la al disseny, execució i avaluació de projectes"
"TRANSVERSAL - 2022","Gestió col·laborativa, transversal i descentralitzada"," El rol i les eines per treballar en equip",45.00,15.00,2.00,,,,,,"Desenvolupar habilitats per aconseguir una dinàmica de treball correcta i eficaç amb les persones amb qui treballo habitualment."
"TRANSVERSAL - 2022","Gestió per projectes"," Avaluació de projectes",45.00,15.00,2.00,,,,,,"Aprendre a planificar, dissenyar i executar les accions necessaries per poder extreure resultats dels projectes"
"TRANSVERSAL - 2022","Gestió per projectes"," MICROFORMACIÓ: Apropa't al pensament de disseny (Design Thinking)",25.00,2.00,2.00,,,,,,"Conèixer el Design Thinking com a metodologia per resoldre reptes o problemes amb una perspectiva innovadora posant a les person"
"TRANSVERSAL - 2022","Gestió per projectes"," Planificació i gestió de projectes",45.00,25.00,3.00,,,,,,"Aprendre a planificar i gestionar les diferents fases i activitats d'un projecte, tenint en compte el temps i els recursos, per"
"TRANSVERSAL - 2022","Llengua i comunicació"," Comunicació escrita I: recursos lingüístics, fraseologia i correccions més freqüents",45.00,16.00,3.00,,,,,,"Conèixer els recursos lingüístics disponibles a Internet per millorar la comunicació escrita en les tasques més habituals."
"TRANSVERSAL - 2022","Llengua i comunicació"," Comunicació escrita II: redacció de documents administratius",45.00,20.00,2.00,,,,,,"Conèixer les principals característiques del llenguatge administratiu, aprendre a utilitzar adequadament la terminologia i la fr"
"TRANSVERSAL - 2022","Llengua i comunicació"," Creació d'infografies per transmetre informació de manera visual",45.00,15.00,2.00,,,,,,"Aprendre a convertir una informació o idea en una imatge per facilitar- ne la comprensió."
"TRANSVERSAL - 2022","Llengua i comunicació"," MICROFORMACIÓ: Presenta el teu projecte a l'estil PechaKucha",25.00,2.00,2.00,,,,,,"Conèixer què és, quines són les característiques i definir els elements de la tècnica de presentació àgil PechaKucha. Associar u"
"TRANSVERSAL - 2022","Llengua i comunicació"," Pronoms febles i pronoms relatius",45.00,10.00,2.00,,,,,,"Aprendre a fer correctament les substitucions pronominals i conèixer les diferents formes i usos dels pronoms."
"TRANSVERSAL - 2022","Seguretat i salut laborals"," Formació teòrico-pràctica en violència ocupacional externa",17.00,5.00,26.00,,,,,,"-Conèixer i saber identificar les diferents manifestacions de conflicte que es poden generar dins de l’àmbit laboral. -Dotar als"
"TRANSVERSAL - 2022","Seguretat i salut laborals"," Tècniques de control davant de situacions estressants",50.00,15.00,4.00,,,,,,"Conèixer les tècniques i habilitats per gestionar situacions amb forta càrrega emocional i aprendre a mantenir la distància sufi"
"TRANSVERSAL - 2022","Seguretat i salut laborals"," Violència ocupacional externa",35.00,2.00,30.00,,,,,,"-Conèixer i saber identificar les diferents manifestacions de conflicte que es poden generar dins de l’àmbit laboral. -Dotar als"
"TRANSVERSAL - 2022","Transversalitat i igualtat de gènere"," Com incorporar la perspectiva de gènere a la teva feina?",45.00,20.00,2.00,,,,,,"Adquirir una base sòlida de coneixements i habilitats per incorporar la perspectiva de gènere a les tasques diàries."
"TRANSVERSAL - 2022","Transversalitat i igualtat de gènere"," Reglament d'equitat de gènere (personal administratiu, agent GU i bomber/a)",500.00,2.00,1.00,,,,,,"- Donar a conèixer el reglament per a la igualtat de gènere. - Divulgar-ne els mecanismes d'aplicació en els diferents àmbits. -"
"TRANSVERSAL - 2022","Transversalitat i igualtat de gènere"," Reglament d'equitat de gènere (personal directiu i comandament)",500.00,2.00,1.00,,,,,,"- Donar a conèixer el reglament per a la igualtat de gènere. - Divulgar-ne els mecanismes d'aplicació en els diferents àmbits. -"
"TRANSVERSAL - 2022","Transversalitat i igualtat de gènere"," Reglament d'equitat de gènere (personal tècnic)",1000.00,2.00,1.00,,,,,,"- Donar a conèixer el reglament per a la igualtat de gènere. - Divulgar-ne els mecanismes d'aplicació en els diferents àmbits. -"
"IMSSB - 2022","Desenvolupament competencial"," Acceptació i gestió de crítiques",20.00,10.00,1.00,,,,,,"Aprendre a donar informació, donar opinió, exposar necessitats i sentiments. Així com comunicar decisions, formular crítiques, a"
